iter	Passed	Remaining
0	5	5393
1	9	4628
2	11	3942
3	14	3573
4	16	3310
5	18	3121
6	21	2985
7	23	2894
8	25	2812
9	27	2753
10	30	2704
11	32	2664
12	34	2628
13	36	2600
14	39	2570
15	41	2541
16	44	2546
17	46	2538
18	48	2518
19	51	2499
20	53	2482
21	55	2465
22	57	2451
23	59	2436
24	62	2442
25	65	2439
26	67	2427
27	69	2416
28	71	2405
29	74	2395
30	76	2387
31	78	2376
32	81	2375
33	84	2407
34	87	2402
35	89	2392
36	91	2386
37	93	2376
38	96	2369
39	98	2361
40	100	2353
41	103	2370
42	106	2368
43	108	2365
44	111	2356
45	113	2348
46	115	2340
47	117	2333
48	119	2326
49	122	2319
50	124	2313
51	126	2307
52	128	2300
53	130	2294
54	133	2288
55	135	2282
56	137	2276
57	140	2277
58	142	2270
59	144	2265
60	146	2259
61	148	2253
62	151	2249
63	153	2245
64	155	2240
65	157	2235
66	160	2231
67	162	2226
68	164	2221
69	166	2217
70	169	2212
71	171	2207
72	173	2203
73	175	2199
74	178	2197
75	180	2195
76	182	2192
77	185	2189
78	187	2184
79	189	2181
80	191	2178
81	194	2175
82	196	2172
83	198	2168
84	201	2164
85	203	2161
86	206	2168
87	209	2171
88	212	2172
89	214	2170
90	216	2165
91	218	2161
92	221	2157
93	223	2153
94	225	2148
95	227	2144
96	229	2140
97	232	2137
98	234	2134
99	235	2123
100	238	2119
101	240	2115
102	242	2111
103	244	2108
104	246	2105
105	249	2102
106	251	2099
107	253	2096
108	256	2093
109	258	2090
110	260	2087
111	262	2083
112	265	2080
113	267	2077
114	269	2074
115	271	2070
116	273	2067
117	276	2064
118	278	2061
119	280	2057
120	283	2057
121	286	2058
122	288	2056
123	290	2052
124	292	2049
125	294	2046
126	297	2043
127	299	2041
128	302	2039
129	304	2037
130	306	2033
131	308	2030
132	310	2027
133	313	2023
134	314	2015
135	316	2012
136	318	2009
137	321	2006
138	323	2003
139	325	2000
140	327	1997
141	330	1994
142	332	1991
143	334	1988
144	336	1985
145	338	1982
146	341	1979
147	343	1976
148	345	1974
149	347	1970
150	350	1968
151	352	1965
152	354	1962
153	356	1959
154	358	1956
155	361	1953
156	363	1951
157	365	1949
158	368	1946
159	370	1944
160	373	1943
161	375	1941
162	377	1938
163	379	1936
164	382	1933
165	384	1931
166	386	1928
167	388	1925
168	391	1923
169	393	1920
170	396	1919
171	398	1919
172	401	1917
173	403	1914
174	405	1911
175	407	1908
176	409	1905
177	412	1902
178	414	1899
179	416	1897
180	418	1893
181	420	1891
182	422	1888
183	424	1883
184	426	1880
185	429	1877
186	431	1874
187	433	1871
188	435	1869
189	437	1867
190	440	1865
191	442	1862
192	444	1859
193	447	1857
194	449	1854
195	451	1851
196	453	1848
197	455	1845
198	457	1842
199	460	1840
200	462	1837
201	464	1834
202	466	1831
203	469	1830
204	471	1829
205	473	1826
206	476	1823
207	478	1822
208	480	1820
209	483	1817
210	485	1814
211	487	1812
212	489	1809
213	491	1806
214	494	1805
215	496	1802
216	498	1799
217	501	1797
218	503	1794
219	505	1791
220	507	1789
221	510	1788
222	512	1787
223	515	1784
224	517	1782
225	519	1779
226	521	1776
227	524	1774
228	526	1772
229	528	1770
230	531	1768
231	533	1766
232	535	1763
233	538	1761
234	540	1759
235	542	1757
236	544	1754
237	547	1751
238	549	1749
239	551	1746
240	553	1743
241	555	1740
242	557	1738
243	560	1735
244	562	1732
245	564	1730
246	566	1727
247	568	1725
248	571	1722
249	573	1719
250	575	1717
251	577	1714
252	579	1712
253	582	1709
254	584	1706
255	586	1704
256	588	1701
257	590	1699
258	593	1697
259	596	1696
